id;param_name;param_data_type;param_value;param_expression;check_script_id
1;AI Technician;STRING;Rustic Creek;extensible ROI bluetooth;1
2;Personal Loan Account bottom-line;NUMBER;payment Cordoba Oro Rubber;Metrics Guyana Dollar communities;2
3;Saint Vincent and the Grenadines Montenegro Nepal;DATE;Oklahoma;mint green Orchestrator dynamic;3
4;SSL Awesome;BOOLEAN;mobile;deposit;4
5;benchmark high-level;STRING;Lilangeni Shirt compressing;B2B overriding Ergonomic Frozen Car;5
6;Home Loan Account optical;BOOLEAN;plum Colorado;Isle of Man circuit;6
7;Persistent Functionality Generic;STRING;deposit CSS hacking;back-end Manager;7
8;Producer;NUMBER;Wooden Rubber Automotive;UAE Dirham e-business Shirt;8
9;Washington Nepal Home Loan Account;STRING;platforms;Product yellow Automotive;9
10;Executive;NUMBER;Nebraska quantifying;synthesizing;10
