id;prop_key;prop_key_type;prop_value;prop_value_type;prop_description;endpoint_id
1;repurpose Walk Ethiopia;CLIENT_SECRET;firewall;NUMBER;Representative Borders;1
2;calculate architect;KEYSTORE_PASSWORD;turquoise Direct Representative;NUMBER;Quality mobile Refined;2
3;Keyboard deposit Practical Wooden Fish;UID;scalable;STRING;Multi-channelled Horizontal;3
4;PCI Sleek Program;HOST;productivity haptic;NUMBER;Group copying North Carolina;4
5;payment XSS;CLIENT_ID;Refined;STRING;solutions Unbranded;5
6;Viaduct COM;PORT;Illinois Rustic;NUMBER;local area network next generation;6
7;Music;BASEPATH;bandwidth Japan Web;DATE;experiences Indiana;7
8;red;KEYSTORE_PATH;Coves JSON;NUMBER;Credit Card Account XSS;8
9;Personal Loan Account Supervisor;KEYSTORE_ALIAS;Hills sticky Product;BOOLEAN;Luxembourg;9
10;encompassing;KEYSTORE_ALIAS;plum Technician River;NUMBER;Wooden teal quantifying;10
