id;script_name;script_type;script_source;action_rule_expression;endpoint_id;content_mapper_id
1;deposit;SQL_SCRIPT;streamline system;Spring Bacon;1;1
2;Virtual;SQL_SCRIPT;Lakes Fish;Pine;2;2
3;Concrete;SHELL_SCRIPT;leverage actuating Loop;Technician envisioneer back up;3;3
4;Liaison;SHELL_SCRIPT;SMS methodologies;Baby;4;4
5;Human Highway Sleek Soft Mouse;SQL_SCRIPT;Sleek;indigo;5;5
6;optical functionalities programming;SQL_SCRIPT;Boliviano Mvdol;copying;6;6
7;solutions vertical Berkshire;SHELL_SCRIPT;Customizable Frozen;Director;7;7
8;invoice navigating;SHELL_SCRIPT;CFA Franc BCEAO Granite Intelligent Soft Keyboard;Berkshire Automotive;8;8
9;Granite PNG;SQL_SCRIPT;reboot generate;Global Consultant Savings Account;9;9
10;back up Beauty card;SQL_SCRIPT;Personal Loan Account;azure Cook Islands cross-media;10;10
