id;source_index;source_name;source_format;source_start_index;source_end_index;source_data_type;target_name;target_col_name;target_data_type;transformation;required_data;content_mapper_id
1;10777;Bedfordshire;Ohio overriding;46748;80763;NUMBER;incentivize Executive Dominican Republic;Product Horizontal;DATE;Markets Agent;false;1
2;38906;initiatives Customizable Berkshire;unleash;94196;60350;DATE;AI Practical Metal Soap Ergonomic;Central;DATE;Cotton Analyst Savings Account;true;2
3;6814;cutting-edge Customer;Ergonomic Cotton Keyboard;94269;8540;STRING;Creative;maximize Points;NUMBER;override Handmade Synergistic;true;3
4;35432;Directives Small Clothing;Ergonomic;6649;62336;NUMBER;Buckinghamshire technologies;deposit;DATE;analyzing input;false;4
5;36832;infomediaries;Borders;56646;53222;NUMBER;Yemen;hybrid;BOOLEAN;architect;false;5
6;35958;Belarussian Ruble Automotive national;benchmark;54766;84577;STRING;Technician PNG;Kentucky Soft Compatible;DATE;back-end Manors;false;6
7;81355;Practical Rubber Chicken Won;matrix Guarani;13092;15365;NUMBER;heuristic attitude-oriented bypassing;bypassing salmon;DATE;Orchestrator;false;7
8;43179;Saudi Riyal;Chief next generation Saint Lucia;85644;12879;NUMBER;synergistic pink;input Berkshire feed;BOOLEAN;generate Savings Account;true;8
9;13396;navigating Personal Loan Account;withdrawal;24071;29850;DATE;monitor pink;override ROI Shirt;STRING;Salad Global Buckinghamshire;true;9
10;20627;Inverse Grocery GB;SAS Bedfordshire;86046;95144;NUMBER;Uganda;Timor-Leste Refined;BOOLEAN;deposit content;false;10
