id;action_name;action_description;next_execution_start_time;action_state;resolution_rule_expression;agent_id;action_script_id
1;Via Louisiana Markets;Open-architected copy Portugal;2019-10-31T08:24:55;RESOLVED;Plastic Music Electronics;1;1
2;Rufiyaa Customer;bus Markets;2019-10-30T17:14:56;PAUSED;radical Incredible Frozen Chicken customer loyalty;2;2
3;strategize Garden;digital;2019-10-30T15:24:05;PENDING;Corporate Sharable capability;3;3
4;Concrete compressing payment;Division;2019-10-31T04:49:44;RESOLVED;parse holistic copy;4;4
5;Strategist deposit Mouse;action-items task-force;2019-10-30T15:32:02;PENDING;Regional task-force;5;5
6;index Program synthesize;Executive back-end Towels;2019-10-30T15:38:16;PAUSED;mobile e-markets vortals;6;6
7;Sleek withdrawal;Savings Account;2019-10-31T07:54:50;PENDING;Small Granite Car;7;7
8;bluetooth;Iraq Enhanced Practical;2019-10-30T13:06:54;COMPLETED;panel Consultant Jersey;8;8
9;Home Loan Account integrated;Officer;2019-10-31T08:49:03;PAUSED;lime;9;9
10;Awesome;Gorgeous auxiliary;2019-10-30T22:53:15;COMPLETED;Auto Loan Account Automotive;10;10
